file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
hin_03,0.0,13.296,audio,-52.426151315789475,-56.64567565917969,1.3643743560071873,2.141736738429085
hin_04,0.0,11.472,audio,-52.18043673714037,-54.99306869506836,0.5709097601511061,3.294975569341723
